12:08:50.293 [main] INFO  utilities.Base - chrome-headless launched
12:09:06.384 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
12:09:28.424 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
12:09:38.052 [main] INFO  utilities.Base - browser closed
12:11:22.657 [main] INFO  utilities.Base - chrome-headless launched
12:11:41.553 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
12:11:59.601 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
12:12:11.189 [main] INFO  utilities.Base - browser closed
12:30:34.479 [main] INFO  utilities.Base - chrome-headless launched
12:30:47.939 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
12:31:15.935 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
12:31:26.598 [main] INFO  utilities.Base - browser closed
12:34:42.575 [main] INFO  utilities.Base - chrome-headless launched
12:34:55.101 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
12:35:14.717 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
12:35:25.175 [main] INFO  utilities.Base - browser closed
12:44:18.462 [main] INFO  utilities.Base - chrome-headless launched
12:44:36.926 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
12:44:58.988 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
12:45:09.067 [main] INFO  utilities.Base - browser closed
12:58:57.658 [main] INFO  utilities.Base - chrome-headless launched
12:59:18.514 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
12:59:40.481 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
12:59:50.434 [main] INFO  utilities.Base - browser closed
13:15:27.542 [main] INFO  utilities.Base - chrome-headless launched
13:15:46.312 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
13:16:11.120 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
13:16:20.843 [main] INFO  utilities.Base - browser closed
13:30:05.653 [main] INFO  utilities.Base - chrome-headless launched
13:30:27.344 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
13:30:52.371 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
13:31:03.859 [main] INFO  utilities.Base - browser closed
13:41:28.141 [main] INFO  utilities.Base - chrome-headless launched
13:41:49.309 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
13:42:12.950 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
13:42:26.627 [main] INFO  utilities.Base - browser closed
13:48:52.364 [main] INFO  utilities.Base - chrome-headless launched
13:49:09.596 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
13:49:36.105 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
13:49:54.563 [main] INFO  utilities.Base - browser closed
13:58:58.214 [main] INFO  utilities.Base - chrome launched
13:59:25.218 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:00:22.478 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:01:31.098 [main] INFO  utilities.Base - browser closed
14:02:40.227 [main] INFO  utilities.Base - chrome launched
14:03:16.893 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:05:00.490 [main] INFO  utilities.Base - browser closed
14:05:59.986 [main] INFO  utilities.Base - chrome launched
14:06:36.169 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:07:15.775 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:08:48.932 [main] INFO  utilities.Base - browser closed
14:09:04.966 [main] INFO  utilities.Base - chrome launched
14:09:29.224 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:10:08.152 [main] INFO  utilities.Base - browser closed
14:20:09.248 [main] INFO  utilities.Base - chrome launched
14:20:27.709 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:20:32.454 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:20:47.289 [main] INFO  utilities.Base - browser closed
14:22:54.348 [main] INFO  utilities.Base - chrome launched
14:23:06.590 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:23:41.076 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:24:36.677 [main] INFO  utilities.Base - browser closed
14:26:03.686 [main] INFO  utilities.Base - chrome launched
14:26:21.262 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:26:55.513 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:27:45.588 [main] INFO  PageObject.UndoRechStatus - Recharge sucessfully for the number5523261151
14:27:45.643 [main] INFO  PageObject.UndoRechStatus - Recharge Successfully
14:31:18.274 [main] INFO  utilities.Base - chrome launched
14:31:47.522 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:31:56.222 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:32:17.251 [main] INFO  utilities.Base - browser closed
14:34:55.046 [main] INFO  utilities.Base - chrome-headless launched
14:35:08.807 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:35:34.005 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
14:36:18.385 [main] INFO  PageObject.UndoRechStatus - Recharge sucessfully for the number5523261151
14:36:18.442 [main] INFO  PageObject.UndoRechStatus - Recharge Successfully
14:38:26.667 [main] INFO  utilities.Base - chrome launched
14:38:50.882 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
14:39:43.134 [main] INFO  utilities.Base - browser closed
16:09:59.062 [main] INFO  utilities.Base - chrome launched
16:10:18.471 [main] INFO  PageObject.UndoHomepage - Navigated to Home webpage and title is as expected
16:10:40.756 [main] INFO  PageObject.UndoPayment - Navigated to Payment webpage
16:11:24.501 [main] INFO  PageObject.UndoRechStatus - Recharge sucessfully for the number5523261151
16:11:24.550 [main] INFO  PageObject.UndoRechStatus - Recharge Successfully
